Renault-Nissan;Renault;Dacia;Renault-Samsung;Nissan;Infiniti;Datsun;Prince;Lada
Volkswagen Gruppe;VW;Audi;Porsche;Seat;Skoda;Bentley;Lamborghini;Ducati;Bugatti;Scania;Man
Daimler AG;Mercedes;Smart;Maybach;AMG
Fiat S.p.A;Fiat;Alfa Romeo;Alfa;Lancia;Maserati;Ferrari;Abarth;Iveco
Chrysler Group LLC;Chrysler;Dodge;Jeep;Ram;SRT;GEM
General Motors Company;Opel;Chevrolet;Daewoo;Cadillac;Corvette;GM
Toyota Motor Corporation;Toyota;Toyopet;Lexus;Scion;WiLL;Daihatsu;Hino;Isuzu;Subaru
Tata Motors;Jaguar;Land Rover;Rover
PSA Peugeot Citroën;Peugeot;Citroën;Citroen
Ford Motor Company;Ford
Geely;Volvo
Mazda Motor Corporation;Mazda
Hyundai Motor Group;Hyundai;Kia
Mitsubishi Motors;Mitsubishi;
Suzuki K.K.;Suzuki
BMW AG;BMW;Mini;Rolls-Royce;Alpina
Honda;Honda
SsangYong Motor Company;Ssangyong
Aston Martin Limited;Aston Martin
Proton;Lotus
Morgan Motor;Morgan
Wiesmann GmbH;Wiesmann
NEVS;SAAB